Date,Station,Site,Bay,subsample,Time,Temp.C,Salinity,lat.deg,lat.min,long.deg,long.min,lat,long,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time
7/21/2023,520,BB-2,Balboa,no,9:55,9.0,30.4,55.0,34.6942,160.0,35.7210,55.5782,160.5954,yes,Leiv Poncet volunteers,n,y,n,n,y,11:35
7/21/2023,521,BB-3,Balboa,no,10:35,9.9,29.2,55.0,34.6585,160.0,35.8918,55.5776,160.5982,yes,Leiv Poncet volunteers,n,y,n,y,n,11:35
7/21/2023,522,BB-4,Balboa,no,11:06,9.4,30.4,55.0,34.6521,160.0,36.8900,55.5775,160.6148,yes,Leiv Poncet volunteers,y,n,n,y,y,11:35
7/21/2023,523,BB-7,Balboa,no,11:53,10.6,26.4,55.0,35.0830,160.0,36.8711,55.5847,160.6145,yes,Leiv Poncet volunteers,y,y,n,y,y,11:35
7/24/2023,524,Sand-2,Sand Point,no,12:51,10.3,31.1,55.0,19.2031,160.0,31.4390,55.3201,160.5240,yes,Leiv Poncet volunteers,y,n,n,y,n,12:51
7/24/2023,525,Sand-3,Sand Point,no,13:06,10.4,30.9,55.0,19.2181,160.0,31.2392,55.3203,160.5207,yes,Leiv Poncet volunteers,n,y,n,y,y,12:51
7/30/2023,526,Jap-6,Japanese,no,6:10,12.7,30.4,56.0,57.1626,153.0,40.7621,56.9527,153.6794,yes,.,y,y,y,y,y,6:51
7/30/2023,527,Jap-2,Japanese,no,6:42,12.5,30.1,56.0,56.8911,153.0,40.9377,56.9482,153.6823,yes,.,y,n,y,y,n,6:51
7/30/2023,528,Jap-3,Japanese,no,7:07,12.5,30.6,56.0,57.0588,153.0,41.1011,56.9510,153.6850,yes,.,n,y,y,y,n,6:51
7/30/2023,529,Jap-5,Japanese,no,7:41,12.3,30.0,56.0,58.0617,153.0,40.9441,56.9677,153.6824,yes,.,y,y,n,y,y,6:51
7/30/2023,530,Jap-4,Japanese,no,8:16,12.8,30.2,56.0,57.5431,153.0,41.3750,56.9591,153.6896,yes,.,n,y,y,y,n,6:51
7/30/2023,531,Jap-1,Japanese,no,8:44,12.7,29.8,56.0,57.1877,153.0,41.1112,56.9531,153.6852,yes,.,n,y,y,y,y,6:51
7/30/2023,532,Jap-7,Japanese,no,9:24,12.4,30.6,56.0,56.7621,153.0,41.0312,56.9460,153.6839,yes,.,n,y,y,y,y,6:51
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
