month,day,year,date,Station,Site,Bay,species,CPUE,
7,12,2022,7/12/2022,402,BB-2,Balboa,great sculpin,3,
7,12,2022,7/12/2022,402,BB-2,Balboa,kelp greenling,3,
7,12,2022,7/12/2022,402,BB-2,Balboa,masked greenling,13,
7,12,2022,7/12/2022,402,BB-2,Balboa,northern rock sole,1,
7,12,2022,7/12/2022,402,BB-2,Balboa,northern sculpin,1,
7,12,2022,7/12/2022,402,BB-2,Balboa,Pacific cod,63,
7,12,2022,7/12/2022,402,BB-2,Balboa,red irish lord,2,
7,12,2022,7/12/2022,402,BB-2,Balboa,rock greenling,2,
7,12,2022,7/12/2022,402,BB-2,Balboa,saffron cod,7,
7,12,2022,7/12/2022,402,BB-2,Balboa,silverspotted sculpin,7,
7,12,2022,7/12/2022,402,BB-2,Balboa,walleye pollock,17,
7,12,2022,7/12/2022,402,BB-2,Balboa,whitespotted greenling,13,
7,12,2022,7/12/2022,402,BB-2,Balboa,yellow irish lord,1,
7,12,2022,7/12/2022,403,BB-3,Balboa,chum salmon,1,
7,12,2022,7/12/2022,403,BB-3,Balboa,dolly varden,1,
7,12,2022,7/12/2022,403,BB-3,Balboa,great sculpin,2,
7,12,2022,7/12/2022,403,BB-3,Balboa,Pacific cod,179,
7,12,2022,7/12/2022,403,BB-3,Balboa,Pacific sandlance,264,
7,12,2022,7/12/2022,403,BB-3,Balboa,pink salmon,2,
7,12,2022,7/12/2022,403,BB-3,Balboa,rock greenling,4,
7,12,2022,7/12/2022,403,BB-3,Balboa,silver salmon,1,
7,12,2022,7/12/2022,403,BB-3,Balboa,silverspotted sculpin,1,
7,12,2022,7/12/2022,403,BB-3,Balboa,walleye pollock,27,
7,12,2022,7/12/2022,404,BB-4,Balboa,Artedius lateralis,11,
7,12,2022,7/12/2022,404,BB-4,Balboa,chum salmon,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,English sole,5,
7,12,2022,7/12/2022,404,BB-4,Balboa,great sculpin,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,masked greenling,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,northern rock sole,46,
7,12,2022,7/12/2022,404,BB-4,Balboa,Pacific cod,55,
7,12,2022,7/12/2022,404,BB-4,Balboa,Pacific halibut,7,
7,12,2022,7/12/2022,404,BB-4,Balboa,red irish lord,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,rock greenling,3,
7,12,2022,7/12/2022,404,BB-4,Balboa,saffron cod,20,
7,12,2022,7/12/2022,404,BB-4,Balboa,silverspotted sculpin,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,snake prickleback,2,
7,12,2022,7/12/2022,404,BB-4,Balboa,walleye pollock,45,
7,12,2022,7/12/2022,404,BB-4,Balboa,whitespotted greenling,5,
7,12,2022,7/12/2022,404,BB-4,Balboa,yellow irish lord,1,
7,12,2022,7/12/2022,404,BB-4,Balboa,yellowfin sole,14,
7,12,2022,7/12/2022,405,BB-7,Balboa,Artedius lateralis,1,
7,12,2022,7/12/2022,405,BB-7,Balboa,chum salmon,10,
7,12,2022,7/12/2022,405,BB-7,Balboa,crescent gunnel,25,
7,12,2022,7/12/2022,405,BB-7,Balboa,great sculpin,5,
7,12,2022,7/12/2022,405,BB-7,Balboa,kelp greenling,2,
7,12,2022,7/12/2022,405,BB-7,Balboa,masked greenling,8,
7,12,2022,7/12/2022,405,BB-7,Balboa,Pacific cod,15,
7,12,2022,7/12/2022,405,BB-7,Balboa,pink salmon,1,
7,12,2022,7/12/2022,405,BB-7,Balboa,rock greenling,4,
7,12,2022,7/12/2022,405,BB-7,Balboa,saffron cod,4,
7,12,2022,7/12/2022,405,BB-7,Balboa,silver salmon,1,
7,12,2022,7/12/2022,405,BB-7,Balboa,silverspotted sculpin,5,
7,12,2022,7/12/2022,405,BB-7,Balboa,snake prickleback,5,
7,12,2022,7/12/2022,405,BB-7,Balboa,three spined stickleback,1,
7,12,2022,7/12/2022,405,BB-7,Balboa,walleye pollock,8,
7,12,2022,7/12/2022,405,BB-7,Balboa,whitespotted greenling,6,
7,15,2022,7/15/2022,411,Bar-5,Baralof,Artedius lateralis,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,copper rockfish,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,crescent gunnel,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,great sculpin,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,kelp greenling,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,chinook salmon,2,
7,15,2022,7/15/2022,411,Bar-5,Baralof,masked greenling,11,
7,15,2022,7/15/2022,411,Bar-5,Baralof,northern rock sole,51,
7,15,2022,7/15/2022,411,Bar-5,Baralof,Pacific cod,119,
7,15,2022,7/15/2022,411,Bar-5,Baralof,Pacific halibut,7,
7,15,2022,7/15/2022,411,Bar-5,Baralof,Pacific sandlance,129,
7,15,2022,7/15/2022,411,Bar-5,Baralof,pink salmon,6,
7,15,2022,7/15/2022,411,Bar-5,Baralof,rock greenling,27,
7,15,2022,7/15/2022,411,Bar-5,Baralof,silverspotted sculpin,61,
7,15,2022,7/15/2022,411,Bar-5,Baralof,snake prickleback,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,tubenose poacher,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,walleye pollock,1,
7,15,2022,7/15/2022,411,Bar-5,Baralof,whitespotted greenling,16,
7,15,2022,7/15/2022,412,Bar-4,Baralof,copper rockfish,2,
7,15,2022,7/15/2022,412,Bar-4,Baralof,crescent gunnel,11,
7,15,2022,7/15/2022,412,Bar-4,Baralof,dolly varden,1,
7,15,2022,7/15/2022,412,Bar-4,Baralof,great sculpin,1,
7,15,2022,7/15/2022,412,Bar-4,Baralof,kelp greenling,3,
7,15,2022,7/15/2022,412,Bar-4,Baralof,chinook salmon,3,
7,15,2022,7/15/2022,412,Bar-4,Baralof,masked greenling,28,
7,15,2022,7/15/2022,412,Bar-4,Baralof,plain sculpin,1,
7,15,2022,7/15/2022,412,Bar-4,Baralof,Pacific cod,150,
7,15,2022,7/15/2022,412,Bar-4,Baralof,red irish lord,6,
7,15,2022,7/15/2022,412,Bar-4,Baralof,rock greenling,21,
7,15,2022,7/15/2022,412,Bar-4,Baralof,silverspotted sculpin,12,
7,15,2022,7/15/2022,412,Bar-4,Baralof,tubenose poacher,12,
7,15,2022,7/15/2022,412,Bar-4,Baralof,tubesnout,29,
7,15,2022,7/15/2022,412,Bar-4,Baralof,walleye pollock,1,
7,15,2022,7/15/2022,412,Bar-4,Baralof,whitespotted greenling,8,
7,15,2022,7/15/2022,413,Bar-3,Baralof,chum salmon,6,
7,15,2022,7/15/2022,413,Bar-3,Baralof,copper rockfish,5,
7,15,2022,7/15/2022,413,Bar-3,Baralof,dolly varden,14,
7,15,2022,7/15/2022,413,Bar-3,Baralof,kelp greenling,3,
7,15,2022,7/15/2022,413,Bar-3,Baralof,chinook salmon,1,
7,15,2022,7/15/2022,413,Bar-3,Baralof,masked greenling,13,
7,15,2022,7/15/2022,413,Bar-3,Baralof,Pacific cod,168,
7,15,2022,7/15/2022,413,Bar-3,Baralof,Pacific sandlance,57,
7,15,2022,7/15/2022,413,Bar-3,Baralof,red irish lord,1,
7,15,2022,7/15/2022,413,Bar-3,Baralof,rock greenling,7,
7,15,2022,7/15/2022,413,Bar-3,Baralof,silverspotted sculpin,16,
7,15,2022,7/15/2022,413,Bar-3,Baralof,tubenose poacher,7,
7,15,2022,7/15/2022,413,Bar-3,Baralof,walleye pollock,12,
7,15,2022,7/15/2022,413,Bar-3,Baralof,whitespotted greenling,8,
7,15,2022,7/15/2022,414,Bar-2,Baralof,Artedius lateralis,8,
7,15,2022,7/15/2022,414,Bar-2,Baralof,chum salmon,55,
7,15,2022,7/15/2022,414,Bar-2,Baralof,crescent gunnel,5,
7,15,2022,7/15/2022,414,Bar-2,Baralof,English sole,25,
7,15,2022,7/15/2022,414,Bar-2,Baralof,great sculpin,18,
7,15,2022,7/15/2022,414,Bar-2,Baralof,kelp greenling,16,
7,15,2022,7/15/2022,414,Bar-2,Baralof,masked greenling,22,
7,15,2022,7/15/2022,414,Bar-2,Baralof,northern rock sole,53,
7,15,2022,7/15/2022,414,Bar-2,Baralof,Pacific cod,14,
7,15,2022,7/15/2022,414,Bar-2,Baralof,Pacific halibut,2,
7,15,2022,7/15/2022,414,Bar-2,Baralof,Pacific staghorn sculpin,48,
7,15,2022,7/15/2022,414,Bar-2,Baralof,red irish lord,3,
7,15,2022,7/15/2022,414,Bar-2,Baralof,rock greenling,20,
7,15,2022,7/15/2022,414,Bar-2,Baralof,starry flounder,2,
7,15,2022,7/15/2022,414,Bar-2,Baralof,three spined stickleback,1,
7,15,2022,7/15/2022,414,Bar-2,Baralof,tubenose poacher,1,
7,15,2022,7/15/2022,414,Bar-2,Baralof,whitespotted greenling,75,
7,15,2022,7/15/2022,415,Bar-1,Baralof,capelin,2,
7,15,2022,7/15/2022,415,Bar-1,Baralof,chum salmon,84,
7,15,2022,7/15/2022,415,Bar-1,Baralof,dolly varden,70,
7,15,2022,7/15/2022,415,Bar-1,Baralof,English sole,3,
7,15,2022,7/15/2022,415,Bar-1,Baralof,great sculpin,6,
7,15,2022,7/15/2022,415,Bar-1,Baralof,kelp greenling,1,
7,15,2022,7/15/2022,415,Bar-1,Baralof,plain sculpin,4,
7,15,2022,7/15/2022,415,Bar-1,Baralof,northern rock sole,11,
7,15,2022,7/15/2022,415,Bar-1,Baralof,Pacific cod,100,
7,15,2022,7/15/2022,415,Bar-1,Baralof,Pacific halibut,10,
7,15,2022,7/15/2022,415,Bar-1,Baralof,Pacific sandlance,1586,
7,15,2022,7/15/2022,415,Bar-1,Baralof,pink salmon,2,
7,15,2022,7/15/2022,415,Bar-1,Baralof,rock greenling,3,
7,15,2022,7/15/2022,415,Bar-1,Baralof,saffron cod,1,
7,15,2022,7/15/2022,415,Bar-1,Baralof,silverspotted sculpin,1,
7,15,2022,7/15/2022,415,Bar-1,Baralof,whitespotted greenling,14,
5,22,2022,5/22/2022,359,CH-1,Chief Cove,tubesnout,5,
5,22,2022,5/22/2022,360,CH-2,Chief Cove,capelin,281,
5,22,2022,5/22/2022,360,CH-2,Chief Cove,chum salmon,9,
5,22,2022,5/22/2022,360,CH-2,Chief Cove,crescent gunnel,1,
5,22,2022,5/22/2022,360,CH-2,Chief Cove,great sculpin,17,
5,22,2022,5/22/2022,360,CH-2,Chief Cove,pink salmon,1080,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,crescent gunnel,4,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,great sculpin,15,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,masked greenling,2,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,northern rock sole,2,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,rock greenling,4,
5,22,2022,5/22/2022,361,CH-3,Chief Cove,whitespotted greenling,5,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,crescent gunnel,1,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,dolly varden,35,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,great sculpin,2,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,kelp greenling,1,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,northern rock sole,2,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,pink salmon,88,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,snake prickleback,3,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,starry flounder,1,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,three spined stickleback,1,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,whitespotted greenling,1,
5,22,2022,5/22/2022,362,CH-4,Chief Cove,yellowfin sole,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,crescent gunnel,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,flathead sole,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,great sculpin,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,kelp greenling,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,northern rock sole,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,pink salmon,2,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,rock greenling,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,silverspotted sculpin,1,
5,22,2022,5/22/2022,363,CH-5,Chief Cove,snake prickleback,1,
7,2,2022,7/2/2022,376,CH-1,Chief Cove,dolly varden,1,
7,2,2022,7/2/2022,376,CH-1,Chief Cove,kelp greenling,1,
7,2,2022,7/2/2022,376,CH-1,Chief Cove,masked greenling,1,
7,2,2022,7/2/2022,376,CH-1,Chief Cove,pink salmon,2,
7,2,2022,7/2/2022,376,CH-1,Chief Cove,whitespotted greenling,57,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,crescent gunnel,3,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,great sculpin,6,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,kelp greenling,5,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,masked greenling,3,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,Pacific staghorn sculpin,1,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,red irish lord,1,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,rock greenling,11,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,three spined stickleback,9,
7,2,2022,7/2/2022,377,CH-4,Chief Cove,whitespotted greenling,3,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,crescent gunnel,1,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,great sculpin,5,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,kelp greenling,8,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,masked greenling,9,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,rock greenling,7,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,three spined stickleback,1,
7,2,2022,7/2/2022,378,CH-5,Chief Cove,whitespotted greenling,60,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,crescent gunnel,15,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,English sole,5,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,great sculpin,13,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,masked greenling,11,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,northern rock sole,1,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,rock greenling,23,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,snailfish,2,
7,2,2022,7/2/2022,379,CH-3,Chief Cove,whitespotted greenling,84,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,English sole,9,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,great sculpin,16,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,kelp greenling,12,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,masked greenling,5,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,pink salmon,3,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,red irish lord,1,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,rock greenling,16,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,snailfish,1,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,snake prickleback,1,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,three spined stickleback,1,
7,2,2022,7/2/2022,380,CH-2,Chief Cove,whitespotted greenling,113,
5,19,2022,5/19/2022,353,Lam South,Cook,buffalo sculpin,1,
5,19,2022,5/19/2022,353,Lam South,Cook,capelin,7,
5,19,2022,5/19/2022,353,Lam South,Cook,crescent gunnel,9,
5,19,2022,5/19/2022,353,Lam South,Cook,flathead sole,1,
5,19,2022,5/19/2022,353,Lam South,Cook,great sculpin,15,
5,19,2022,5/19/2022,353,Lam South,Cook,kelp greenling,12,
5,19,2022,5/19/2022,353,Lam South,Cook,masked greenling,1,
5,19,2022,5/19/2022,353,Lam South,Cook,northern rock sole,2,
5,19,2022,5/19/2022,353,Lam South,Cook,Pacific sandfish,1,
5,19,2022,5/19/2022,353,Lam South,Cook,pink salmon,2,
5,19,2022,5/19/2022,353,Lam South,Cook,rock greenling,4,
5,19,2022,5/19/2022,353,Lam South,Cook,silverspotted sculpin,1,
5,19,2022,5/19/2022,353,Lam South,Cook,starry flounder,2,
5,19,2022,5/19/2022,353,Lam South,Cook,tadpole sculpin,1,
5,19,2022,5/19/2022,354,EG South,Cook,capelin,2,
5,19,2022,5/19/2022,354,EG South,Cook,kelp greenling,12,
5,19,2022,5/19/2022,354,EG South,Cook,masked greenling,3,
5,19,2022,5/19/2022,354,EG South,Cook,Pacific herring,48,
5,19,2022,5/19/2022,354,EG South,Cook,pink salmon,3,
5,19,2022,5/19/2022,354,EG South,Cook,red irish lord,1,
5,19,2022,5/19/2022,354,EG South,Cook,rock greenling,13,
5,19,2022,5/19/2022,354,EG South,Cook,silverspotted sculpin,35,
5,19,2022,5/19/2022,354,EG South,Cook,starry flounder,1,
5,19,2022,5/19/2022,354,EG South,Cook,whitespotted greenling,21,
5,19,2022,5/19/2022,355,Lam East,Cook,kelp greenling,1,
5,19,2022,5/19/2022,355,Lam East,Cook,silverspotted sculpin,8,
5,19,2022,5/19/2022,355,Lam East,Cook,snailfish,1,
5,19,2022,5/19/2022,355,Lam East,Cook,whitespotted greenling,1,
5,19,2022,5/19/2022,356,EG West,Cook,copper rockfish,1,
5,19,2022,5/19/2022,356,EG West,Cook,crescent gunnel,10,
5,19,2022,5/19/2022,356,EG West,Cook,great sculpin,9,
5,19,2022,5/19/2022,356,EG West,Cook,kelp greenling,4,
5,19,2022,5/19/2022,356,EG West,Cook,pink salmon,599,
5,19,2022,5/19/2022,356,EG West,Cook,rock greenling,2,
5,19,2022,5/19/2022,356,EG West,Cook,silverspotted sculpin,13,
5,19,2022,5/19/2022,356,EG West,Cook,snailfish,1,
5,19,2022,5/19/2022,356,EG West,Cook,whitespotted greenling,12,
5,19,2022,5/19/2022,357,Lam North,Cook,kelp greenling,2,
5,19,2022,5/19/2022,357,Lam North,Cook,silverspotted sculpin,1,
5,19,2022,5/19/2022,357,Lam North,Cook,snailfish,2,
5,19,2022,5/19/2022,357,Lam North,Cook,whitespotted greenling,1,
5,19,2022,5/19/2022,358,EG North,Cook,great sculpin,1,
5,19,2022,5/19/2022,358,EG North,Cook,kelp greenling,4,
5,19,2022,5/19/2022,358,EG North,Cook,masked greenling,2,
5,19,2022,5/19/2022,358,EG North,Cook,rock greenling,2,
5,19,2022,5/19/2022,358,EG North,Cook,silverspotted sculpin,1,
5,19,2022,5/19/2022,358,EG North,Cook,whitespotted greenling,9,
6,12,2022,6/12/2022,371,EG West,Cook,copper rockfish,2,
6,12,2022,6/12/2022,371,EG West,Cook,crescent gunnel,15,
6,12,2022,6/12/2022,371,EG West,Cook,great sculpin,15,
6,12,2022,6/12/2022,371,EG West,Cook,kelp greenling,13,
6,12,2022,6/12/2022,371,EG West,Cook,masked greenling,2,
6,12,2022,6/12/2022,371,EG West,Cook,northern rock sole,1,
6,12,2022,6/12/2022,371,EG West,Cook,northern sculpin,1,
6,12,2022,6/12/2022,371,EG West,Cook,Pacific cod,20,
6,12,2022,6/12/2022,371,EG West,Cook,pipefish,3,
6,12,2022,6/12/2022,371,EG West,Cook,red irish lord,1,
6,12,2022,6/12/2022,371,EG West,Cook,rock greenling,2,
6,12,2022,6/12/2022,371,EG West,Cook,silverspotted sculpin,17,
6,12,2022,6/12/2022,371,EG West,Cook,three spined stickleback,2,
6,12,2022,6/12/2022,371,EG West,Cook,walleye pollock,1140,
6,12,2022,6/12/2022,371,EG West,Cook,whitespotted greenling,2,
6,12,2022,6/12/2022,372,Lam North,Cook,great sculpin,2,
6,12,2022,6/12/2022,372,Lam North,Cook,kelp greenling,6,
6,12,2022,6/12/2022,372,Lam North,Cook,Pacific cod,4,
6,12,2022,6/12/2022,372,Lam North,Cook,pink salmon,2,
6,12,2022,6/12/2022,372,Lam North,Cook,rock greenling,2,
6,12,2022,6/12/2022,372,Lam North,Cook,silverspotted sculpin,2,
6,12,2022,6/12/2022,372,Lam North,Cook,walleye pollock,1,
6,12,2022,6/12/2022,372,Lam North,Cook,whitespotted greenling,2,
6,12,2022,6/12/2022,373,Lam East,Cook,great sculpin,2,
6,12,2022,6/12/2022,373,Lam East,Cook,kelp greenling,4,
6,12,2022,6/12/2022,373,Lam East,Cook,Pacific cod,6,
6,12,2022,6/12/2022,373,Lam East,Cook,rock greenling,2,
6,12,2022,6/12/2022,373,Lam East,Cook,silverspotted sculpin,3,
6,12,2022,6/12/2022,373,Lam East,Cook,walleye pollock,1,
6,12,2022,6/12/2022,373,Lam East,Cook,whitespotted greenling,2,
6,12,2022,6/12/2022,374,EG South,Cook,crescent gunnel,2,
6,12,2022,6/12/2022,374,EG South,Cook,dolly varden,1,
6,12,2022,6/12/2022,374,EG South,Cook,great sculpin,7,
6,12,2022,6/12/2022,374,EG South,Cook,kelp greenling,5,
6,12,2022,6/12/2022,374,EG South,Cook,Pacific cod,115,
6,12,2022,6/12/2022,374,EG South,Cook,red irish lord,1,
6,12,2022,6/12/2022,374,EG South,Cook,rock greenling,14,
6,12,2022,6/12/2022,374,EG South,Cook,silverspotted sculpin,72,
6,12,2022,6/12/2022,374,EG South,Cook,snailfish,1,
6,12,2022,6/12/2022,374,EG South,Cook,tubenose poacher,2,
6,12,2022,6/12/2022,374,EG South,Cook,tubesnout,1,
6,12,2022,6/12/2022,374,EG South,Cook,walleye pollock,116,
6,12,2022,6/12/2022,374,EG South,Cook,whitespotted greenling,42,
6,12,2022,6/12/2022,375,Lam South,Cook,capelin,53,
6,12,2022,6/12/2022,375,Lam South,Cook,great sculpin,8,
6,12,2022,6/12/2022,375,Lam South,Cook,kelp greenling,12,
6,12,2022,6/12/2022,375,Lam South,Cook,northern rock sole,1,
6,12,2022,6/12/2022,375,Lam South,Cook,Pacific cod,5,
6,12,2022,6/12/2022,375,Lam South,Cook,pink salmon,3,
6,12,2022,6/12/2022,375,Lam South,Cook,red irish lord,2,
6,12,2022,6/12/2022,375,Lam South,Cook,rock greenling,10,
6,12,2022,6/12/2022,375,Lam South,Cook,silverspotted sculpin,4,
6,12,2022,6/12/2022,375,Lam South,Cook,snake prickleback,5,
6,12,2022,6/12/2022,375,Lam South,Cook,starry flounder,4,
6,12,2022,6/12/2022,375,Lam South,Cook,three spined stickleback,14,
6,12,2022,6/12/2022,375,Lam South,Cook,walleye pollock,4,
6,12,2022,6/12/2022,375,Lam South,Cook,whitespotted greenling,23,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,Artedius lateralis,1,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,capelin,1,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,dolly varden,2,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,masked greenling,4,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,Pacific cod,7,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,Pacific sandlance,21,
7,14,2022,7/14/2022,406,Fal-5,Falmouth,red irish lord,2,
