Date,Station,Site,Bay,species,length
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,130
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,126
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,118
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,118
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,122
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,127
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,129
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,124
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,133
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,120
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,127
6/30/2025,627,Kai-4,Kaiugnak,black rockfish,128
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,126
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,138
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,121
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,125
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,120
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,122
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,128
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,119
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,124
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,132
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,116
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,132
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,120
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,134
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,128
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,118
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,132
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,123
6/30/2025,628,Kai-1,Kaiugnak,black rockfish,125
6/30/2025,629,Kai-2,Kaiugnak,black rockfish,125
6/30/2025,629,Kai-2,Kaiugnak,black rockfish,114
6/30/2025,629,Kai-2,Kaiugnak,black rockfish,120
6/30/2025,629,Kai-2,Kaiugnak,black rockfish,121
6/30/2025,629,Kai-2,Kaiugnak,black rockfish,134
7/1/2025,631,Jap-1,Japanese,black rockfish,131
7/1/2025,631,Jap-1,Japanese,black rockfish,125
7/1/2025,631,Jap-1,Japanese,black rockfish,129
7/1/2025,631,Jap-1,Japanese,black rockfish,124
7/1/2025,632,Jap-6,Japanese,black rockfish,132
7/1/2025,632,Jap-6,Japanese,black rockfish,136
7/1/2025,632,Jap-6,Japanese,black rockfish,179
7/1/2025,632,Jap-6,Japanese,black rockfish,134
7/1/2025,632,Jap-6,Japanese,black rockfish,118
7/1/2025,632,Jap-6,Japanese,black rockfish,123
7/1/2025,632,Jap-6,Japanese,black rockfish,114
7/1/2025,632,Jap-6,Japanese,black rockfish,123
7/1/2025,632,Jap-6,Japanese,black rockfish,111
7/1/2025,633,Jap-2,Japanese,black rockfish,116
7/1/2025,634,Jap-7,Japanese,black rockfish,141
7/1/2025,634,Jap-7,Japanese,black rockfish,123
7/1/2025,634,Jap-7,Japanese,black rockfish,135
7/1/2025,634,Jap-7,Japanese,black rockfish,145
7/6/2025,637,Bar-4,Baralof,black rockfish,96
7/6/2025,637,Bar-4,Baralof,black rockfish,108
7/6/2025,637,Bar-4,Baralof,black rockfish,102
7/6/2025,637,Bar-4,Baralof,black rockfish,95
7/6/2025,637,Bar-4,Baralof,black rockfish,112
7/6/2025,637,Bar-4,Baralof,black rockfish,110
7/6/2025,637,Bar-4,Baralof,black rockfish,122
7/6/2025,637,Bar-4,Baralof,black rockfish,101
7/6/2025,637,Bar-4,Baralof,black rockfish,109
7/6/2025,637,Bar-4,Baralof,black rockfish,100
7/6/2025,637,Bar-4,Baralof,black rockfish,105
7/6/2025,637,Bar-4,Baralof,black rockfish,105
7/10/2025,649,Fal-1,Falmouth,black rockfish,123
7/13/2025,654,RR-3,Rodman Reach,black rockfish,145
7/13/2025,654,RR-3,Rodman Reach,black rockfish,142
7/13/2025,654,RR-3,Rodman Reach,black rockfish,133
7/13/2025,654,RR-3,Rodman Reach,black rockfish,137
7/13/2025,654,RR-3,Rodman Reach,black rockfish,125
7/13/2025,654,RR-3,Rodman Reach,black rockfish,131
7/13/2025,654,RR-3,Rodman Reach,black rockfish,133
7/13/2025,654,RR-3,Rodman Reach,black rockfish,130
7/13/2025,654,RR-3,Rodman Reach,black rockfish,136
7/13/2025,654,RR-3,Rodman Reach,black rockfish,120
6/13/2025,614,Laminaria South,Cook,capelin,56
6/13/2025,614,Laminaria South,Cook,capelin,65
6/13/2025,614,Laminaria South,Cook,capelin,64
6/13/2025,616,Eelgrass West,Cook,capelin,52
6/13/2025,616,Eelgrass West,Cook,capelin,53
6/13/2025,616,Eelgrass West,Cook,capelin,56
6/13/2025,616,Eelgrass West,Cook,capelin,59
6/13/2025,616,Eelgrass West,Cook,capelin,43
6/13/2025,616,Eelgrass West,Cook,capelin,48
6/13/2025,616,Eelgrass West,Cook,capelin,54
6/28/2025,620,Kilu-4,Kiliuda,capelin,61
6/28/2025,619,Kilu-3,Kiliuda,chinook salmon,118
6/28/2025,619,Kilu-3,Kiliuda,chinook salmon,109
6/28/2025,620,Kilu-4,Kiliuda,chinook salmon,133
6/28/2025,620,Kilu-4,Kiliuda,chinook salmon,125
6/28/2025,620,Kilu-4,Kiliuda,chinook salmon,120
6/28/2025,620,Kilu-4,Kiliuda,chinook salmon,104
6/30/2025,624,Kai-3,Kaiugnak,chinook salmon,144
6/30/2025,627,Kai-4,Kaiugnak,chinook salmon,107
6/30/2025,627,Kai-4,Kaiugnak,chinook salmon,105
6/30/2025,628,Kai-1,Kaiugnak,chinook salmon,129
6/30/2025,628,Kai-1,Kaiugnak,chinook salmon,143
6/30/2025,628,Kai-1,Kaiugnak,chinook salmon,73
7/6/2025,637,Bar-4,Baralof,chinook salmon,137
7/6/2025,637,Bar-4,Baralof,chinook salmon,165
7/6/2025,637,Bar-4,Baralof,chinook salmon,96
7/6/2025,637,Bar-4,Baralof,chinook salmon,80
7/10/2025,651,Fal-4,Falmouth,chinook salmon,114
7/10/2025,651,Fal-4,Falmouth,chinook salmon,118
7/6/2025,637,Bar-4,Baralof,chum salmon,93
7/6/2025,637,Bar-4,Baralof,chum salmon,104
7/6/2025,637,Bar-4,Baralof,chum salmon,68
7/6/2025,637,Bar-4,Baralof,chum salmon,72
7/6/2025,637,Bar-4,Baralof,chum salmon,69
7/6/2025,637,Bar-4,Baralof,chum salmon,65
7/6/2025,638,Bar-5,Baralof,chum salmon,78
7/6/2025,638,Bar-5,Baralof,chum salmon,79
7/6/2025,639,Bar-3,Baralof,chum salmon,62
7/6/2025,639,Bar-3,Baralof,chum salmon,56
7/8/2025,646,BB-4,Balboa,chum salmon,82
7/8/2025,646,BB-4,Balboa,chum salmon,72
7/8/2025,646,BB-4,Balboa,chum salmon,78
7/8/2025,647,BB-7,Balboa,chum salmon,65
7/8/2025,647,BB-7,Balboa,chum salmon,67
7/6/2025,637,Bar-4,Baralof,coho salmon,54
7/6/2025,640,Bar-2,Baralof,coho salmon,62
6/13/2025,616,Eelgrass West,Cook,copper rockfish,68
6/13/2025,616,Eelgrass West,Cook,copper rockfish,65
6/13/2025,616,Eelgrass West,Cook,copper rockfish,71
6/13/2025,616,Eelgrass West,Cook,copper rockfish,68
6/13/2025,617,Laminaria East,Cook,copper rockfish,64
6/13/2025,617,Laminaria East,Cook,copper rockfish,65
6/28/2025,620,Kilu-4,Kiliuda,copper rockfish,73
6/28/2025,623,Kilu-2,Kiliuda,copper rockfish,73
6/30/2025,628,Kai-1,Kaiugnak,copper rockfish,65
7/1/2025,631,Jap-1,Japanese,copper rockfish,67
7/1/2025,631,Jap-1,Japanese,copper rockfish,72
7/1/2025,631,Jap-1,Japanese,copper rockfish,74
7/1/2025,632,Jap-6,Japanese,copper rockfish,69
7/1/2025,632,Jap-6,Japanese,copper rockfish,74
7/1/2025,632,Jap-6,Japanese,copper rockfish,64
7/1/2025,633,Jap-2,Japanese,copper rockfish,72
7/1/2025,634,Jap-7,Japanese,copper rockfish,66
7/1/2025,634,Jap-7,Japanese,copper rockfish,76
7/1/2025,635,Jap-3,Japanese,copper rockfish,75
7/6/2025,637,Bar-4,Baralof,copper rockfish,70
7/10/2025,648,Fal-5,Falmouth,copper rockfish,72
7/10/2025,649,Fal-1,Falmouth,copper rockfish,66
7/10/2025,649,Fal-1,Falmouth,copper rockfish,68
7/10/2025,649,Fal-1,Falmouth,copper rockfish,70
7/10/2025,649,Fal-1,Falmouth,copper rockfish,61
7/10/2025,649,Fal-1,Falmouth,copper rockfish,74
7/10/2025,649,Fal-1,Falmouth,copper rockfish,73
6/28/2025,620,Kilu-4,Kiliuda,dolly varden,238
6/28/2025,621,Kilu-6,Kiliuda,dolly varden,180
6/28/2025,621,Kilu-6,Kiliuda,dolly varden,153
6/28/2025,621,Kilu-6,Kiliuda,dolly varden,203
6/30/2025,626,Kai-7,Kaiugnak,northern rock sole,136
6/30/2025,626,Kai-7,Kaiugnak,northern rock sole,107
6/13/2025,616,Eelgrass West,Cook,Pacific cod,170
6/13/2025,616,Eelgrass West,Cook,Pacific cod,37
6/13/2025,616,Eelgrass West,Cook,Pacific cod,42
6/13/2025,616,Eelgrass West,Cook,Pacific cod,37
6/13/2025,616,Eelgrass West,Cook,Pacific cod,33
6/13/2025,616,Eelgrass West,Cook,Pacific cod,32
6/13/2025,616,Eelgrass West,Cook,Pacific cod,36
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,157
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,49
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,43
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,47
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,45
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,46
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,45
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,46
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,36
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,39
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,48
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,46
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,48
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,52
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,49
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,56
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,48
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,44
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,42
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,50
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,42
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,46
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,38
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,43
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,41
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,38
6/28/2025,618,Kilu-1,Kiliuda,Pacific cod,56
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,36
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,47
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,49
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,62
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,40
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,53
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,51
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,42
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,54
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,46
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,43
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,52
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,46
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,38
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,40
6/28/2025,619,Kilu-3,Kiliuda,Pacific cod,53
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,48
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,49
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,52
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,45
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,44
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,48
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,43
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,44
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,52
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,48
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,45
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,54
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,47
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,42
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,40
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,57
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,44
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,45
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,42
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,54
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,48
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,45
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,45
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,53
6/28/2025,620,Kilu-4,Kiliuda,Pacific cod,40
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,48
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,51
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,53
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,57
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,44
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,48
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,52
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,55
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,43
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,49
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,54
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,63
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,52
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,45
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,46
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,44
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,46
6/28/2025,621,Kilu-6,Kiliuda,Pacific cod,43
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,43
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,47
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,41
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,47
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,42
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,40
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,51
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,46
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,47
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,51
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,41
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,42
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,44
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,45
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,44
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,42
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,51
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,43
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,50
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,54
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,45
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,43
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,45
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,47
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,54
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,44
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,45
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,50
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,43
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,45
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,42
6/28/2025,622,Kilu-5,Kiliuda,Pacific cod,48
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,42
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,52
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,50
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,46
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,47
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,49
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,54
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,46
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,49
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,50
6/28/2025,623,Kilu-2,Kiliuda,Pacific cod,46
6/30/2025,626,Kai-7,Kaiugnak,Pacific cod,63
6/30/2025,626,Kai-7,Kaiugnak,Pacific cod,54
6/30/2025,626,Kai-7,Kaiugnak,Pacific cod,58
6/30/2025,626,Kai-7,Kaiugnak,Pacific cod,58
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,48
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,48
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,47
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,51
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,44
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,56
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,52
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,53
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,47
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,46
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,51
6/30/2025,627,Kai-4,Kaiugnak,Pacific cod,53
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,166
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,138
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,50
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,68
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,46
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,53
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,54
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,48
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,54
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,54
6/30/2025,628,Kai-1,Kaiugnak,Pacific cod,51
7/1/2025,630,Jap-5,Japanese,Pacific cod,52
7/1/2025,630,Jap-5,Japanese,Pacific cod,52
7/1/2025,630,Jap-5,Japanese,Pacific cod,54
7/1/2025,630,Jap-5,Japanese,Pacific cod,53
7/1/2025,630,Jap-5,Japanese,Pacific cod,47
7/1/2025,630,Jap-5,Japanese,Pacific cod,54
7/1/2025,630,Jap-5,Japanese,Pacific cod,60
7/1/2025,630,Jap-5,Japanese,Pacific cod,73
7/1/2025,630,Jap-5,Japanese,Pacific cod,62
7/1/2025,630,Jap-5,Japanese,Pacific cod,46
7/1/2025,630,Jap-5,Japanese,Pacific cod,42
7/1/2025,630,Jap-5,Japanese,Pacific cod,48
7/1/2025,630,Jap-5,Japanese,Pacific cod,46
7/1/2025,630,Jap-5,Japanese,Pacific cod,42
7/1/2025,630,Jap-5,Japanese,Pacific cod,53
7/1/2025,630,Jap-5,Japanese,Pacific cod,55
7/1/2025,630,Jap-5,Japanese,Pacific cod,66
7/1/2025,630,Jap-5,Japanese,Pacific cod,50
7/1/2025,630,Jap-5,Japanese,Pacific cod,50
7/1/2025,630,Jap-5,Japanese,Pacific cod,48
7/1/2025,630,Jap-5,Japanese,Pacific cod,49
7/1/2025,630,Jap-5,Japanese,Pacific cod,50
7/1/2025,630,Jap-5,Japanese,Pacific cod,49
7/1/2025,631,Jap-1,Japanese,Pacific cod,54
7/1/2025,631,Jap-1,Japanese,Pacific cod,62
7/1/2025,631,Jap-1,Japanese,Pacific cod,60
7/1/2025,631,Jap-1,Japanese,Pacific cod,49
7/1/2025,631,Jap-1,Japanese,Pacific cod,52
7/1/2025,631,Jap-1,Japanese,Pacific cod,53
7/1/2025,631,Jap-1,Japanese,Pacific cod,48
7/1/2025,631,Jap-1,Japanese,Pacific cod,52
7/1/2025,631,Jap-1,Japanese,Pacific cod,57
7/1/2025,631,Jap-1,Japanese,Pacific cod,50
7/1/2025,631,Jap-1,Japanese,Pacific cod,50
7/1/2025,631,Jap-1,Japanese,Pacific cod,45
7/1/2025,631,Jap-1,Japanese,Pacific cod,50
7/1/2025,631,Jap-1,Japanese,Pacific cod,51
7/1/2025,631,Jap-1,Japanese,Pacific cod,50
7/1/2025,631,Jap-1,Japanese,Pacific cod,54
7/1/2025,632,Jap-6,Japanese,Pacific cod,56
7/1/2025,632,Jap-6,Japanese,Pacific cod,59
7/1/2025,632,Jap-6,Japanese,Pacific cod,50
7/1/2025,632,Jap-6,Japanese,Pacific cod,51
7/1/2025,632,Jap-6,Japanese,Pacific cod,55
7/1/2025,632,Jap-6,Japanese,Pacific cod,54
7/1/2025,632,Jap-6,Japanese,Pacific cod,63
7/1/2025,632,Jap-6,Japanese,Pacific cod,50
7/1/2025,632,Jap-6,Japanese,Pacific cod,51
7/1/2025,632,Jap-6,Japanese,Pacific cod,47
7/1/2025,632,Jap-6,Japanese,Pacific cod,46
7/1/2025,632,Jap-6,Japanese,Pacific cod,50
7/1/2025,632,Jap-6,Japanese,Pacific cod,50
7/1/2025,632,Jap-6,Japanese,Pacific cod,50
7/1/2025,632,Jap-6,Japanese,Pacific cod,55
7/1/2025,633,Jap-2,Japanese,Pacific cod,60
7/1/2025,633,Jap-2,Japanese,Pacific cod,55
7/1/2025,633,Jap-2,Japanese,Pacific cod,54
7/1/2025,633,Jap-2,Japanese,Pacific cod,54
7/1/2025,633,Jap-2,Japanese,Pacific cod,56
7/1/2025,633,Jap-2,Japanese,Pacific cod,55
7/1/2025,633,Jap-2,Japanese,Pacific cod,53
7/1/2025,633,Jap-2,Japanese,Pacific cod,54
7/1/2025,633,Jap-2,Japanese,Pacific cod,57
7/1/2025,633,Jap-2,Japanese,Pacific cod,53
7/1/2025,633,Jap-2,Japanese,Pacific cod,50
7/1/2025,633,Jap-2,Japanese,Pacific cod,50
7/1/2025,633,Jap-2,Japanese,Pacific cod,53
7/1/2025,633,Jap-2,Japanese,Pacific cod,58
7/1/2025,633,Jap-2,Japanese,Pacific cod,52
7/1/2025,634,Jap-7,Japanese,Pacific cod,49
7/1/2025,634,Jap-7,Japanese,Pacific cod,55
7/1/2025,634,Jap-7,Japanese,Pacific cod,53
7/1/2025,634,Jap-7,Japanese,Pacific cod,48
7/1/2025,634,Jap-7,Japanese,Pacific cod,50
7/1/2025,634,Jap-7,Japanese,Pacific cod,54
7/1/2025,634,Jap-7,Japanese,Pacific cod,55
7/1/2025,634,Jap-7,Japanese,Pacific cod,52
7/1/2025,634,Jap-7,Japanese,Pacific cod,52
7/1/2025,634,Jap-7,Japanese,Pacific cod,47
7/1/2025,634,Jap-7,Japanese,Pacific cod,48
7/1/2025,634,Jap-7,Japanese,Pacific cod,55
7/1/2025,634,Jap-7,Japanese,Pacific cod,54
7/1/2025,634,Jap-7,Japanese,Pacific cod,52
7/1/2025,634,Jap-7,Japanese,Pacific cod,43
7/1/2025,634,Jap-7,Japanese,Pacific cod,51
7/1/2025,634,Jap-7,Japanese,Pacific cod,52
7/1/2025,634,Jap-7,Japanese,Pacific cod,50
7/1/2025,634,Jap-7,Japanese,Pacific cod,51
7/1/2025,634,Jap-7,Japanese,Pacific cod,55
7/1/2025,635,Jap-3,Japanese,Pacific cod,60
