Date,month,day,year,Station,Site,Bay,subsample,Time,Temp.C,Salinity,lat.deg,lat.min,long.deg,long.min,lat,long,use.for.CPUE,notes,Cobble,Gravel,Fucus,Laminaria,Eelgrass,LT.time,,,,
6/30/2026,6,30,2026,665,Kilu-5,Kiliuda,no,11:05,10.6,30.9,57,19.3514,152,54.6086,57.3225,152.9101,yes,.,y,y,n,n,y,9:19,,,,
6/30/2026,6,30,2026,664,Kilu-6,Kiliuda,no,10:25,9.9,31.3,57,19.3342,152,56.7665,57.3222,152.9461,yes,.,n,y,y,y,y,9:19,,,,
6/16/2026,6,16,2026,656,Laminaria South,Cook,no,8:06,7.1,30.9,57,46.2030,152,16.6180,57.7701,152.2770,yes,.,y,y,y,y,y,9:49,,,,
6/16/2026,6,16,2026,659,Laminaria East,Cook,no,11:27,7.7,31.4,57,46.4880,152,15.4136,57.7748,152.2569,yes,.,y,n,y,y,y,9:49,,,,
7/18/2026,7,18,2026,704,Mit-1,Mitrofania,no,12:58,9.1,31.3,55,58.6830,158,42.9113,55.9781,158.7152,yes,.,y,n,n,y,y,12:14,,,,
7/18/2026,7,18,2026,703,Mit-2,Mitrofania,no,12:30,9.4,30.3,55,58.8037,158,42.7812,55.9801,158.7130,yes,.,n,y,n,y,y,12:14,,,,
7/18/2026,7,18,2026,702,Mit-3,Mitrofania,yes,12:03,9.5,30.6,55,58.7220,158,42.6386,55.9787,158.7106,yes,.,n,y,n,y,y,12:14,,,,
7/18/2026,7,18,2026,701,Mit-5,Mitrofania,yes,10:39,9.4,29.4,55,58.8708,158,41.8609,55.9812,158.6977,yes,shallow. Had to row,n,y,y,y,y,12:14,,,,
7/18/2026,7,18,2026,705,Mit-6,Mitrofania,yes,13:32,9.7,31.3,55,58.7261,158,42.2409,55.9788,158.7040,yes,.,y,y,y,y,y,12:14,,,,
7/21/2026,7,21,2026,708,PW-1,Port Wrangell,yes,13:33,9.1,25.6,57,2.9535,156,36.6980,57.0492,156.6116,yes,.,y,n,y,y,y,14:00,,,,
7/21/2026,7,21,2026,706,PW-2,Port Wrangell,no,12:18,9.0,22.8,57,2.8969,156,36.7053,57.0483,156.6118,yes,big swell,y,n,n,y,n,14:00,,,,
7/21/2026,7,21,2026,707,PW-3,Port Wrangell,no,13:01,8.3,29.8,57,2.7765,156,36.8027,57.0463,156.6134,yes,big swell,y,n,n,y,n,14:00,,,,
7/21/2026,7,21,2026,709,PW-4,Port Wrangell,no,14:21,10.1,18.0,57,3.5328,156,37.3630,57.0589,156.6227,yes,.,y,n,y,y,y,14:00,,,,
7/13/2026,7,13,2026,692,Sand-2,Sand Point,no,9:00,8.7,31.4,55,19.2150,160,31.4570,55.3203,160.5243,no,ripped net on machine parts,na,na,na,na,na,8:37,,,,
7/14/2026,7,14,2026,695,Sand-2,Sand Point,no,10:14,8.7,31.4,55,19.2150,160,31.4570,55.3203,160.5243,yes,sea urchins,y,n,n,y,y,9:24,,,,
7/13/2026,7,13,2026,693,Sand-3,Sand Point,no,9:49,9.4,30.9,55,19.2281,160,31.2200,55.3205,160.5203,no,past the low tide. Can't access EG habitat,n,y,n,n,n,8:37,,,,
7/14/2026,7,14,2026,694,Sand-3,Sand Point,no,9:33,7.8,31.3,55,19.2281,160,31.2200,55.3205,160.5203,yes,.,y,n,n,n,y,9:24,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
